Threads: [{'140352945166080': 0, '140352953558784': 1}]
['STORE', '0x7fa670003bb0', -1, 1, '107']
['STORE', '0x7fa670003bb8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6680039d0', -1, 0, '107']
['STORE', '0x7fa6680039d8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003c10', -1, 1, '107']
['STORE', '0x7fa670003c18', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668003a30', -1, 0, '107']
['STORE', '0x7fa668003a38', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003c70', -1, 1, '107']
['STORE', '0x7fa670003c78', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa670003cd0', -1, 1, '107']
['STORE', '0x7fa670003cd8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668003a90', -1, 0, '107']
['STORE', '0x7fa668003a98', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003d30', -1, 1, '107']
['STORE', '0x7fa670003d38', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668003af0', -1, 0, '107']
['STORE', '0x7fa668003af8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003d90', -1, 1, '107']
['STORE', '0x7fa670003d98', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa670003df0', -1, 1, '107']
['STORE', '0x7fa670003df8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668003b50', -1, 0, '107']
['STORE', '0x7fa668003b58', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003e50', -1, 1, '107']
['STORE', '0x7fa670003e58', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668003bb0', -1, 0, '107']
['STORE', '0x7fa668003bb8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa668003c10', -1, 0, '107']
['STORE', '0x7fa668003c18', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003eb0', -1, 1, '107']
['STORE', '0x7fa670003eb8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668003c70', -1, 0, '107']
['STORE', '0x7fa668003c78', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003f10', -1, 1, '107']
['STORE', '0x7fa670003f18', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa670003f70', -1, 1, '107']
